time,verified,comments,retweets,likes,followers
49,0,0,0,0,1
36,0,0,0,0,2
5760,0,1,171,35,3
240,0,0,0,0,7
600,0,3,1,9,7
16,0,1,0,0,9
15,0,0,0,0,10
1260,0,2,2,10,11
4320,0,10,99,102,11
1080,0,5,46,148,19
1260,0,2,2,9,21
8640,0,1,11,25,25
16,0,3,0,0,26
360,0,5,4,5,27
2880,0,15,135,715,37
2880,0,1,16,35,43
23,0,6,49,122,48
1440,0,18,5,38,58
2880,0,4,420,346,58
7200,0,1,36,3,61
4320,0,8,2,17,62
38,0,6,164,410,63
2880,0,5,10,94,63
8,0,2,0,0,67
7200,0,2,3,20,68
6,0,0,1,0,72
2880,0,2,4,13,73
2880,0,2,4,31,78
2880,0,3,66,746,78
22,0,2,9,49,79
2880,0,0,0,0,79
4320,0,2,58,251,84
780,0,0,0,0,86
4320,0,0,0,0,86
840,0,3,46,99,88
720,0,21,459,1000,93
780,0,21,460,1000,93
4320,0,0,0,0,100
17,0,0,0,0,101
4320,0,1,7,27,102
2880,0,1,4,18,103
7200,0,2,15,71,105
360,0,6,345,1000,107
4320,0,2,0,0,107
900,0,1,14,32,108
8,0,0,0,0,110
240,0,1,9,11,112
1,0,0,0,0,123
1140,0,1,14,18,124
600,0,17,161,1000,125
1440,0,8,5000,5000,140
4320,0,4,11,29,146
1140,0,16,5,16,151
60,0,5,36,90,153
7200,0,17,8000,6000,157
780,0,1,13,122,168
5760,0,3,89,164,169
2880,0,1,8,34,171
780,0,5,120,349,172
4320,0,2,5000,2000,172
4320,0,12,152,658,186
4320,0,12,152,659,186
2880,0,57,244,792,188
7200,0,5,152,462,191
11520,0,1,6,25,195
8640,0,9,223,1000,199
720,0,2,144,312,203
1260,0,3,17,59,203
2880,0,4,32,97,203
480,0,7,89,425,208
840,0,1,2,10,208
900,0,1,2,10,208
2880,0,4,194,668,225
4320,0,2,24,78,226
1200,0,0,0,0,237
2880,0,80,2000,21000,243
1440,0,0,0,0,244
2880,0,2,135,293,247
8640,0,9,153,598,248
11520,0,4,55,77,267
12960,0,5,68,88,269
1440,0,38,1000,1000,271
2880,0,10,20,41,279
2880,0,21,95,406,283
4320,0,1,19,76,286
5760,0,9,134,359,286
8640,0,4,369,912,288
8640,0,4,369,913,288
1080,0,6,24,122,290
4320,0,22,96,417,291
4320,0,12,24,47,302
4320,0,12,24,47,303
1260,0,4,14,121,310
180,0,103,2000,3000,319
60,0,18,584,461,334
600,0,8,33,174,335
660,0,9,44,205,340
1,0,0,0,0,353
1380,0,2,182,84,353
120,0,17,122,222,372
1,0,0,0,0,390
960,0,67,228,1000,435
4320,0,44,2000,7000,441
120,0,36,434,342,450
120,0,38,457,360,450
1380,0,4,282,2000,460
2880,0,1,6,0,470
1260,0,1,4,23,506
2880,0,1,7,14,506
360,0,412,1000,5000,516
2880,0,43,214,855,532
11520,0,6,99,269,535
7200,0,1,22,156,545
4320,0,1,8,53,559
4320,0,1,24,164,565
4320,0,3,16,140,573
600,0,33,1000,606,580
660,0,38,1000,755,580
720,0,38,2000,780,581
48,0,1,5,16,599
2880,0,50,3000,1000,600
7200,0,2,56,112,601
600,0,1,25,130,631
2880,0,8,131,484,631
4320,0,8,133,490,631
1080,0,2,35,93,633
240,0,6,58,187,641
60,0,0,4,0,643
1440,0,2,7,15,645
7200,0,2,22,45,651
1260,0,135,23000,104000,669
1440,0,4,29,104,691
1440,0,4,29,105,691
4320,0,16,69,645,701
7200,0,2,8,38,742
4320,0,1,140,280,765
2880,0,16,7,18,788
4320,0,3,59,256,834
43,0,2,45,38,836
360,0,13,235,731,845
120,0,4,42,343,873
7200,0,1,37,61,886
240,0,54,43,285,888
2880,0,24,5000,19000,890
2,0,2,1,4,916
1440,0,1,34,96,930
360,0,1,11,13,944
4320,0,24,632,3000,946
4320,0,1,4,4,956
1440,0,4,337,2000,958
60,0,3,26,40,979
23,0,5,295,309,988
1080,0,10,78,346,994
11520,0,5,885,2000,1008
1320,0,1,142,494,1030
9,1,2,14,32,1048
22,1,3,18,41,1051
4320,0,11,350,2000,1078
120,0,18,25,129,1100
60,0,14,754,2000,1102
1140,0,10,55,322,1130
7200,0,2,25,168,1154
10,0,0,2,0,1156
840,0,18,769,2000,1176
840,0,18,770,2000,1176
1080,0,14,1000,2000,1189
2880,0,35,742,1000,1190
11520,0,5,52,211,1190
180,0,1,590,292,1226
7200,0,5,12,54,1235
60,0,13,32,122,1269
900,0,109,117,981,1335
4320,0,241,55000,205000,1356
1260,0,6,761,1000,1387
48,0,29,367,921,1390
60,0,44,785,2000,1397
1440,0,17,483,3000,1405
1440,0,14,137,2000,1435
300,0,2000,2000,2000,1450
120,0,22,12,82,1457
600,0,4,79,212,1479
4320,0,32,4000,11000,1489
180,0,8,112,132,1497
1320,0,3,3000,6000,1499
1440,0,5,431,1000,1516
44,0,9,16,152,1518
56,1,41,142,204,1532
660,0,43,2000,4000,1534
720,1,25,820,2000,1544
2880,0,25,5000,16000,1548
720,0,1,68,194,1610
5760,0,13,76,311,1620
360,0,12,1000,2000,1639
24,0,6,37,191,1688
2880,0,70,7000,18000,1720
2880,0,70,7000,18000,1721
780,0,1,37,27,1739
900,0,4,13,40,1801
660,0,2,64,367,1817
2880,0,3,155,545,1842
1260,0,74,5000,11000,1852
8640,0,1,16,121,1854
8640,0,2,120,395,1874
2880,0,18,22,36,1876
1440,0,98,118,287,1911
2880,0,39,405,846,1926
7200,0,7,35,321,1935
4320,0,58,2000,6000,1964
120,0,5,169,527,1970
120,0,5,225,691,1971
5760,0,61,2000,6000,1974
1080,0,5,87,576,2019
54,1,2,13,86,2024
2880,0,46,14,111,2033
1320,1,987,2000,6000,2062
25,0,2,66,187,2064
6,0,2,1,7,2091
8640,0,5,79,180,2102
1440,0,60,3000,6000,2116
1,0,0,0,0,2197
10080,0,8,104,259,2213
300,0,12,239,165,2243
1440,0,6,66,307,2269
840,0,5,45,420,2280
1440,0,2,153,663,2284
2880,0,2,342,739,2288
5760,0,16,435,1000,2301
240,0,52,52,92,2411
2880,0,2,101,364,2455
240,0,3,186,274,2484
4320,0,3,57,105,2546
2880,0,6,405,1000,2565
660,0,1,78,174,2572
2880,0,5,66,453,2574
60,0,9,105,419,2580
7200,0,3,85,147,2595
780,0,30,2000,8000,2674
840,0,33,3000,9000,2705
1440,0,18,3000,10000,2748
420,0,3,38,88,2762
180,0,3,74,152,2772
960,0,9,81,262,2794
1440,0,2,93,307,2799
720,0,20,8000,27000,2846
4320,0,12,336,2000,2872
1440,0,7,356,405,2893
240,0,20,134,210,2911
120,0,13,88,117,2912
60,0,2,15,100,2913
2880,0,156,3000,12000,2916
180,0,2,249,462,2964
240,1,7,24,77,2966
1320,0,1,39,69,2990
180,0,3,84,425,2995
4320,0,2,16,59,3158
240,0,3,66,441,3161
1440,0,12,490,1000,3357
1440,0,12,498,1000,3357
1440,0,20,201,2000,3434
360,0,3,66,235,3441
180,0,4,594,406,3483
240,0,2,166,757,3680
7200,0,13,191,4000,3714
13,0,19,183,804,3728
1440,0,1,57,80,3739
1080,0,16,232,166,3891
2880,0,425,819,825,3895
2880,0,425,819,825,3896
4320,0,2,303,275,3985
1260,0,33,4000,12000,4050
660,0,7,367,2000,4093
1080,0,7,178,404,4115
10080,0,1,80,243,4123
1320,0,2,126,50,4337
2880,0,3,97,396,4345
8640,1,317,3000,7000,4374
240,0,7,200,607,4402
300,0,7,722,810,4404
2880,0,10,468,2000,4419
2,1,0,0,0,4449
2880,0,1,7,460,4471
5760,0,3,120,339,4625
4320,0,3,120,338,4631
2880,0,17,1000,3000,4634
5,1,6,33,136,4638
120,1,7,120,488,4638
900,0,4,315,1000,4847
900,0,4,317,1000,4847
10080,0,1,52,230,4910
1440,0,3,136,319,4965
60,0,4,16,45,5011
1440,0,524,2000,2000,5127
540,0,31,1000,4000,5191
600,0,32,1000,5000,5194
2880,0,474,36000,163000,5196
1200,0,640,67000,246000,5236
1260,0,645,68000,250000,5238
1260,0,646,68000,250000,5238
1440,0,1,23,12,5320
2880,0,44,318,566,5461
180,0,1,161,278,5495
120,0,42,349,2000,5563
4320,0,18,303,1000,5577
2880,0,10,931,3000,5612
780,1,8,94,112,5615
180,0,2,87,443,5681
1320,0,2,33,78,5836
57,0,11,150,603,6055
60,0,125,14,117,6137
4320,1,47,1000,5000,6148
9,0,1,10,46,6155
47,0,1,189,213,6206
56,0,3,189,465,6251
420,0,3,247,882,6279
2880,0,17,26,397,6304
60,0,1,182,267,6344
120,0,10,197,334,6413
32,0,5,21,14,6572
120,0,252,200,573,6630
1440,0,7,62,281,6722
600,0,9,321,553,6950
35,0,1,18,18,6997
2880,1,104,2000,2000,7001
1440,0,58,392,391,7042
180,1,4,74,256,7145
1080,0,39,7000,8000,7164
300,1,21,574,618,7219
540,0,131,1000,4000,7226
1440,1,6,107,366,7427
120,0,1,271,474,7530
1380,0,124,3000,14000,7613
540,0,6,58,171,7680
